year,position,is_in_state,jersey,name,id,bio_url,batting_AVG,batting_OBP,batting_SLG,batting_OPS,batting_RBI,pitching_R,pitching_H,pitching_2B,pitching_3B,pitching_HR,pitching_BB,pitching_SO,batting_AB,batting_SB_successful,batting_SB_attempted,batting_SB,pitching_HBP,hometown,state,WAR,pitching_ERA,pitching_WHIP,pitching_WL,pitching_APP_GS,pitching_CG,pitching_SHO,pitching_SV,pitching_IP,pitching_ER,pitching_BAVG,pitching_WP,pitching_BK,pitching_SFA,pitching_SHA
2015,OF,False,12,"Newell, Cameron",131,https://ucsbgauchos.com/sports/baseball/roster/cameron-newell/131,0.372,0.451,0.477,0.928,31.0,41,74,8,2,3,27,23,199,7.0,14.0,7-14,4,Roseburg,Ore.,0.10887555333333329,,,,,,,,,,,,,,
2015,P,True,23,"Nesovic, Robby",130,https://ucsbgauchos.com/sports/baseball/roster/robby-nesovic/130,0.339,0.397,0.404,0.801,40.0,29,62,12,0,0,20,31,183,6.0,6.0,6-6,3,La Mesa,Calif.,0.0,,,,,,,,,,,,,,
2015,OF,True,21,"Calica, Andrew",106,https://ucsbgauchos.com/sports/baseball/roster/andrew-calica/106,0.333,0.448,0.43,0.878,19.0,41,69,13,2,1,24,34,207,15.0,21.0,15-21,19,Chula Vista,Calf.,0.10377599999999995,,,,,,,,,,,,,,
2015,OF,True,5,"Swenson, Luke",139,https://ucsbgauchos.com/sports/baseball/roster/luke-swenson/139,0.301,0.39,0.393,0.783,29.0,28,55,9,4,0,22,21,183,4.0,11.0,4-11,6,Moorpark,Calif.,0.06376696,,,,,,,,,,,,,,
2015,IF,True,1,"Maris, Peter",126,https://ucsbgauchos.com/sports/baseball/roster/peter-maris/126,0.289,0.361,0.365,0.726,24.0,27,61,8,1,2,24,25,211,5.0,9.0,5-9,2,Laguna Niguel,Calif.,0.1436277,,,,,,,,,,,,,,
2015,IF,True,3,"Fisher, Clay",114,https://ucsbgauchos.com/sports/baseball/roster/clay-fisher/114,0.246,0.302,0.303,0.605,19.0,22,43,8,1,0,11,32,175,5.0,9.0,5-9,3,La Quinta,Calif.,0.08832599999999996,,,,,,,,,,,,,,
2015,C,True,35,"Wear, Campbell",141,https://ucsbgauchos.com/sports/baseball/roster/campbell-wear/141,0.195,0.251,0.256,0.507,22.0,15,32,7,0,1,11,50,164,2.0,3.0,2-3,3,San Diego,Calif.,0.9004016266666667,,,,,,,,,,,,,,
2015,OF,True,25,"Adams, Josh",101,https://ucsbgauchos.com/sports/baseball/roster/josh-adams/101,0.667,0.75,0.667,1.417,0.0,0,2,0,0,0,0,1,3,0.0,0.0,0-0,1,Elk Grove,Calif.,0.004003839999999999,,,,,,,,,,,,,,
2015,C,True,27,"O'Brien, Paddy",132,https://ucsbgauchos.com/sports/baseball/roster/paddy-o-brien/132,0.391,0.459,0.531,0.99,19.0,13,25,3,0,2,8,8,64,3.0,4.0,3-4,1,Orinda,Calif.,0.6989934933333333,,,,,,,,,,,,,,
2015,UTIL,True,26,"Fredrick, Billy",115,https://ucsbgauchos.com/sports/baseball/roster/billy-fredrick/115,0.321,0.506,0.339,0.845,7.0,8,18,1,0,0,18,10,56,0.0,0.0,0-0,3,Santa Clarita,Calif.,0.05394815999999999,,,,,,,,,,,,,,
2015,UTIL,True,9,"Woodward, Woody",143,https://ucsbgauchos.com/sports/baseball/roster/woody-woodward/143,0.314,0.423,0.4,0.823,12.0,28,44,10,1,0,16,23,140,4.0,4.0,4-4,11,Glendora,Calif.,0.11764199999999995,,,,,,,,,,,,,,
2015,IF,True,40,"Bush, Austin",105,https://ucsbgauchos.com/sports/baseball/roster/austin-bush/105,0.294,0.333,0.588,0.921,10.0,7,10,1,0,3,1,9,34,0.0,0.0,0-0,1,Turlock,Calif.,0.027513479999999996,,,,,,,,,,,,,,
2015,OF,True,10,"Kelly, Dalton",122,https://ucsbgauchos.com/sports/baseball/roster/dalton-kelly/122,0.261,0.379,0.432,0.811,19.0,21,29,4,3,3,14,33,111,7.0,8.0,7-8,7,Redding,Calif.,0.03975058,,,,,,,,,,,,,,
2015,IF,True,2,"Plantier, Kyle",133,https://ucsbgauchos.com/sports/baseball/roster/kyle-plantier/133,0.245,0.275,0.265,0.54,6.0,6,12,1,0,0,2,13,49,0.0,0.0,0-0,0,Temecula,Calif.,0.020388900000000005,,,,,,,,,,,,,,
2015,IF,True,13,"Clark, Ryan",109,https://ucsbgauchos.com/sports/baseball/roster/ryan-clark/109,0.231,0.268,0.385,0.653,9.0,6,9,3,0,1,1,9,39,1.0,1.0,1-1,1,Fresno,Calif.,0.019585799999999993,,,,,,,,,,,,,,
2015,OF,True,30,"Quinlan, Scott",134,https://ucsbgauchos.com/sports/baseball/roster/scott-quinlan/134,0.2,0.288,0.32,0.608,8.0,11,10,1,1,1,6,17,50,5.0,6.0,5-6,1,Danville,Calif.,0.0036466666666666618,,,,,,,,,,,,,,
2015,IF,True,6,"Hearn, JD",119,https://ucsbgauchos.com/sports/baseball/roster/jd-hearn/119,0.2,0.286,0.2,0.486,4.0,1,2,0,0,0,2,5,10,0.0,0.0,0-0,0,Campbell,Calif.,0.0038459999999999996,,,,,,,,,,,,,,
2015,IF,True,16,"Muno, JJ",128,https://ucsbgauchos.com/sports/baseball/roster/jj-muno/128,0.163,0.234,0.186,0.42,3.0,3,7,1,0,0,3,10,43,0.0,3.0,0-3,1,Sherman Oaks,Calif.,0.011336520000000001,,,,,,,,,,,,,,
2015,C,True,20,"Grover, Dempsey",118,https://ucsbgauchos.com/sports/baseball/roster/dempsey-grover/118,0.095,0.136,0.095,0.231,3.0,1,2,0,0,0,1,5,21,0.0,0.0,0-0,0,Modesto,Calif.,0.5433594,,,,,,,,,,,,,,
2015,P,True,19,"Bieber, Shane",104,https://ucsbgauchos.com/sports/baseball/roster/shane-bieber/104,,,,,,48,114,19,2,3,13,95,432,,,,3,Laguna Hills,Calif.,2.194133333333333,2.24,1.13,8-4,16-15,3,1-0,0.0,112.2,28,0.264,5.0,1.0,7.0,11.0
2015,P,True,17,"Tate, Dillon",140,https://ucsbgauchos.com/sports/baseball/roster/dillon-tate/140,,,,,,29,66,11,1,3,28,111,351,,,,13,Claremont,Calif.,1.993266666666667,2.26,0.91,8-5,14-14,2,0-0,0.0,103.1,26,0.188,10.0,0.0,2.0,12.0
2015,P,True,33,"Mazza, Domenic",127,https://ucsbgauchos.com/sports/baseball/roster/domenic-mazza/127,,,,,,29,61,10,1,2,26,72,274,,,,4,Concord,Calif.,1.1207777777777779,2.69,1.13,6-1,17-10,0,0-0,2.0,77.0,23,0.223,4.0,0.0,3.0,8.0
2015,P,True,44,"Jacome, Justin",121,https://ucsbgauchos.com/sports/baseball/roster/justin-jacome/121,,,,,,39,105,13,1,5,26,89,392,,,,3,Redlands,Calif.,1.4186222222222225,2.82,1.21,7-4,15-15,2,0-0,0.0,108.2,34,0.268,4.0,1.0,5.0,9.0
2015,P,True,34,"Carter, James",107,https://ucsbgauchos.com/sports/baseball/roster/james-carter/107,,,,,,2,6,0,0,0,3,12,33,,,,0,Danville,Calif.,0.40888888888888886,0.0,0.93,1-0,7-0,0,0-0,5.0,9.2,0,0.182,2.0,0.0,0.0,1.0
2015,C,True,4,"Rowan, Thomas",136,https://ucsbgauchos.com/sports/baseball/roster/thomas-rowan/136,,,,,,0,0,0,0,0,1,0,2,,,,1,Santa Ynez,Calif.,0.0,0.0,1.0,0-0,1-0,0,0-0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0
